sensor_name,sensor_guid,utc,pos_x,pos_y,pos_z,n_x,n_y,n_z,side_px,warmup,azimuth_deg,altitude_deg,geometric_factor,clearsky_ghi_wm2,clearsky_dni_wm2,clearsky_dhi_wm2,sun_occluded,sun_hit_distance_m,sun_visibility,sky_view_factor,raw_r_lux,raw_g_lux,raw_b_lux,sim_comp_amb_lux,sim_comp_direct_lux,irr_final_normalized_wm2
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:30:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,78.727,-21.065,0.000000,0.000000,0.000000,0.000000,1,2.435,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:32:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,78.903,-20.878,0.000000,0.000000,0.000000,0.000000,1,2.460,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:34:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,79.255,-20.504,0.000000,0.000000,0.000000,0.000000,1,2.512,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:36:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,79.606,-20.130,0.000000,0.000000,0.000000,0.000000,1,2.566,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:38:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,79.955,-19.755,0.000000,0.000000,0.000000,0.000000,1,2.621,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:40:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,80.476,-19.192,0.000000,0.000000,0.000000,0.000000,1,2.709,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:42:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,80.822,-18.816,0.000000,0.000000,0.000000,0.000000,1,2.771,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:44:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,81.167,-18.440,0.000000,0.000000,0.000000,0.000000,1,2.835,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:46:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,81.510,-18.064,0.000000,0.000000,0.000000,0.000000,1,2.902,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:48:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,81.682,-17.875,0.000000,0.000000,0.000000,0.000000,1,2.937,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:50:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,82.023,-17.498,0.000000,0.000000,0.000000,0.000000,1,3.009,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:52:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,82.534,-16.932,0.000000,0.000000,0.000000,0.000000,1,3.122,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:54:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,82.873,-16.554,0.000000,0.000000,0.000000,0.000000,1,3.203,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:56:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,83.211,-16.176,0.000000,0.000000,0.000000,0.000000,1,3.287,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T04:58:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,83.549,-15.798,0.000000,0.000000,0.000000,0.000000,1,3.375,0.000,1.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T05:00:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,83.885,-15.419,0.000000,0.000000,0.000000,0.000000,1,3.468,0.000,1.000000,0.000000001,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T05:02:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,84.053,-15.229,0.000000,0.000000,0.000000,0.000000,1,3.516,0.000,1.000000,0.000000002,0.000000000,0.000000000,0.000000001,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T05:04:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,84.387,-14.850,0.000000,0.000000,0.000000,0.000000,1,3.616,0.000,1.000000,0.000000028,0.000000001,0.000000000,0.000000010,0.000000000,0.000000000
Pyr,BF04DDE0AD58478F833CB925287288AE,2025-10-07T05:06:00.000Z,200.000000,300.000000,100.000000,0.000000,0.000000,1.000000,512,16,84.722,-14.471,0.000000,0.000000,0.000000,0.000000,1,3.722,0.000,1.000000,0.000000835,0.000000011,0.000000000,0.000000282,0.000000000,0.000000000
